Variable,X1,X2,X3,X4,X5,X6
Intercept,6.02849994,3.106802193,-1.873499755,-1.662900989,-6.207904844,0.609003455
CCI,-0.17565436,-0.043906601,0.08342069,0.03544539,0,0.046267525
Gender=Male,-0.18502666,0,-0.030837654,0.016531432,1.654233782,-0.018731865
Ethnicity= Not Hispanic or Latino,0.073797614,0,0.271340757,0.161288083,-0.898030162,-0.117642964
Age>60,-0.063282719,0,0.130664526,0.066833469,-1.534798258,1.153321344
Targeted Antivirals,-0.166556438,-0.750510983,0,1.021704044,0,0.030605981
Untargeted Antivirals,0,0.318362133,0,-0.528746008,0,-0.030037628
Spike Protein Monoclonal Antibodies,0.192168291,0.479909495,0,-0.655541074,0,-0.723053377
Immunomodulator Monoclonal Antibodies,-0.641680817,-0.249069752,-0.089946795,0.686286603,0.000753307,0.293657454
Steroids,0.116529376,-0.208575302,-0.274446339,0.0549108,0.090710746,0
Antibiotics,0.110589833,0,0,-0.063999377,0,-0.191836304
Anticoagulants,-0.149056692,-0.364004567,0,0,0,0.18943675
Miscellaneous,-0.100347789,0.198721402,0,0.142481701,0,-0.041212888
Pressors Used,-1.558237782,-0.749554597,-0.191597323,0.819321342,1.614984992,0.065083368
CCI: Targeted Antivirals,-0.009129761,0.027562237,-0.001950941,-0.039820367,0,0.027746532
CCI: Untargeted Antivirals,0.034843297,0.00939195,-0.052913373,0.044590521,-0.126190018,0
CCI: Spike Protein Monoclonal Antibodies,0.026532662,-0.016436126,-0.06734214,0.055776985,0,0
CCI: Immunomodulator Monoclonal Antibodies,-0.000162789,0.028747162,-0.050419124,0,-0.011544559,0.04921694
CCI: Steroids,-0.017251123,0,0.014058447,0,0,-0.020240354
CCI: Antibiotics,-0.00306338,0,-0.035641373,3.00968E-05,3.00968E-05,0.011135579
CCI: Anticoagulants,0.001811518,0.004912862,-0.049181466,0,0,-0.077400999
CCI: Miscellaneous,0.032719858,0.015740302,0.006025059,-0.062610939,-0.134215097,0
Steroids: Targeted Antivirals,0,0.187701242,-0.348045119,-0.621816084,0,0.132586667
Steroids: Untargeted Antivirals,-0.10591193,-0.064722421,0.73160902,0,0,0.542992032
Steroids: Spike Protein Monoclonal Antibodies,0.075652803,-0.139284489,1.888330915,0,-1.19987022,-0.087780261
Steroids: Immunomodulator Monoclonal Antibodies,-0.132851259,-0.349882677,0,0.413278031,0.734975087,-0.079860865
Steroids: Antibiotics,-0.191978804,0.014667355,0,0,0.5750955,-0.111428192
Steroids: Anticoagulants,-0.532155772,-0.238232751,0.406389386,0,1.414649322,-0.005514468
Steroids: Miscellaneous,-0.001112303,0,0.194613106,1.07613737,0,-0.059275539
Anticoagulants: Targeted Antivirals,0.035253819,0,0.503075748,-0.401407964,0,-0.457440823
Anticoagulants: Untargeted Antivirals,0.086694818,0,0,0,0,-0.678527974
Anticoagulants: Spike Protein Monoclonal Antibodies,0.077491902,-0.020512513,-2.672476238,0.43353908,0,0.392765825
Anticoagulants: Immunomodulator Monoclonal Antibodies,-0.260525333,0.114518911,0,0,0,-0.057316038
Anticoagulants: Antibiotics,-0.35130994,-0.201506321,0.505177039,0.009200542,-0.000244329,0.03868301
Anticoagulants: Miscellaneous,-0.018561937,0,0.142147016,-0.354806142,0,0.274677618
