Variable,X1,X2,X3,X4,X5,X6
Intercept,3.892762745,0.844795119,-0.397910162,-1.609700458,-2.62816014,-0.101787105
CCI,-0.107714177,0.046594033,0.035473348,-0.023325684,-0.017787523,0.066760003
Gender=Male,-0.137136799,0.002787808,0,0.055033388,-0.32460771,0.017328551
Ethnicity= Not Hispanic or Latino,-0.14960636,0,0.138816593,0.434104386,-1.65879399,0.170135381
Age>60,-0.048896417,0.20902213,0,0.122365004,-1.731923005,1.416379712
Targeted Antivirals,-0.730456891,0.245767855,-0.317762391,0.707413958,-0.245530854,0.340568322
Untargeted Antivirals,0.125119794,-0.452912651,0.396015663,0.370278532,-0.259471071,-0.179030268
Spike Protein Monoclonal Antibodies,0.399527809,-1.196246071,0.194410863,0.111132213,0,-0.737879751
Immunomodulator Monoclonal Antibodies,-0.682275286,0,-0.841513196,0.52969681,0.257626419,0.339417771
Steroids,0.747659955,-0.349057995,0.123361118,0.000307383,-0.060698391,-0.46157207
Antibiotics,0.115845772,-0.138610721,-0.082691364,0.273886696,0.00040604,-0.168836423
Anticoagulants,0.233109815,-0.54821451,0,0.019680822,0.033897052,-0.276938256
Miscellaneous,0.104571768,0.383042698,-0.324101487,-0.71122381,0,0
Pressors Used,-1.274465478,-0.594592962,-0.625661469,0.907776803,1.185370448,0.401572658
CCI: Targeted Antivirals,-0.020440679,-0.035972523,0.007376248,0,0,0.03088767
CCI: Untargeted Antivirals,-0.024067108,0,-0.01395854,0.027569146,0.006483991,0.000444092
CCI: Spike Protein Monoclonal Antibodies,-0.049243098,0.03782966,0,0.030995528,0,-0.118753921
CCI: Immunomodulator Monoclonal Antibodies,-0.058150507,-0.007913856,-0.042736338,0.066436738,0.002859014,0.039504949
CCI: Steroids,0.020097234,-0.010847669,0.001829378,-0.024386018,0,0.00131391
CCI: Antibiotics,-0.004110062,-0.004508694,0,0.070098605,0,0.001143219
CCI: Anticoagulants,0.009624217,0.032949325,0.027712466,-0.022534507,0,-0.052146112
CCI: Miscellaneous,0.024584505,-0.025710843,0.030272768,-0.086166915,0.083694763,-0.026674277
Steroids: Targeted Antivirals,0.343422345,0.707930085,0.028021786,-0.6291207,-0.232742407,-0.217511109
Steroids: Untargeted Antivirals,0.018622586,1.253855548,0,-0.861919733,-0.170912688,-2.04042E-05
Steroids: Spike Protein Monoclonal Antibodies,-0.735445721,0.732631816,-0.972819539,0.29609076,0.279044305,0
Steroids: Immunomodulator Monoclonal Antibodies,-0.465578182,-0.429204125,0.690445614,0.931902748,-0.133263569,0
Steroids: Antibiotics,-0.024411392,0,0,-0.432964979,0.185350806,0.195354741
Steroids: Anticoagulants,-1.251537933,-0.037757552,0.174064518,0.520519082,0,0.509805446
Steroids: Miscellaneous,-0.104077243,0.032541368,-0.132437254,0.958143123,-0.812801161,0.058631166
Anticoagulants: Targeted Antivirals,0.769205549,-0.207234019,0.027084821,-0.024713913,0,0
Anticoagulants: Untargeted Antivirals,0.353043005,-0.274398403,0,-0.174226747,-0.016581418,0.371716769
Anticoagulants: Spike Protein Monoclonal Antibodies,0.353434927,0.006641976,0.044547022,-1.495335877,0,-0.344238999
Anticoagulants: Immunomodulator Monoclonal Antibodies,0.36549538,0.306383003,0.231104555,-1.18460645,0,-0.381435856
Anticoagulants: Antibiotics,-0.418455084,0.019841975,0,0,0.227651245,0
Anticoagulants: Miscellaneous,-0.412744812,-0.202000038,0.476491569,0.120571032,0.0658339,-0.048151651
