Variable,X1,X3,X5,X7,X9,X11
Intercept,5.660542972,2.808171365,-1.730096554,-1.900383318,-5.007847017,0.169612551
CCI,-0.133873029,1.47322E-05,0.004111813,0.039537158,0,-0.010471033
Gender=Male,-0.301330525,-0.07554542,0.084901859,0.070755406,0.225488102,-0.004269423
Ethnicity= Not Hispanic or Latino,0.111649071,-0.039219197,-0.21908106,0.031504339,0.218720987,-0.10357414
Age>60,-0.257588158,0,-0.100725826,0.027981973,-1.015732543,1.742882019
Targeted Antivirals,-0.120083276,-0.553413799,0.003182989,-0.108719006,0.139832202,0.63920089
Untargeted Antivirals,0.53418864,-0.133445537,-0.036593501,0,-0.030481515,0.911835694
Spike Protein Monoclonal Antibodies,0.066447474,0.500530761,-0.280128847,0.362905253,-0.158540617,-0.491214025
Immunomodulator Monoclonal Antibodies,-0.918306698,-0.142132306,0.247317706,0,0,0.023005582
Steroids,0.226387591,-0.130805223,-0.397195677,0,0.004842886,0.029392517
Antibiotics,0.068519317,-0.202824377,0,-0.281759959,0,0.003168375
Anticoagulants,-0.122602382,-0.576234486,0.194923718,0.112692043,0.696549809,-0.305328702
Miscellaneous,-0.030814187,0.086249648,0.1213545,0,0,-0.147506942
Pressors Used,-1.67950792,-0.716230538,-0.323775661,0.729159182,1.834238371,0.156116565
CCI: Targeted Antivirals,-0.021846873,0.024103048,0.003054198,-0.012763512,0.010334938,-0.002881799
CCI: Untargeted Antivirals,0.035920542,-0.001227692,0.075974983,0,0,-0.035055275
CCI: Spike Protein Monoclonal Antibodies,0.035529847,0.022334043,-0.03441926,-0.403376371,0,0.078456494
CCI: Immunomodulator Monoclonal Antibodies,-0.022555679,0,0.020914217,-0.060421101,0.226188179,-0.005335916
CCI: Steroids,-0.002754833,-0.008348364,0.008893186,0.004379636,-0.004707758,0.002538133
CCI: Antibiotics,-0.01175822,0.003481183,0.05012486,-0.009284723,0,-0.000390519
CCI: Anticoagulants,-0.009319276,0,0.02639649,-0.000145891,0.02943409,-0.015527456
CCI: Miscellaneous,0.021730422,-0.00888246,-0.020942501,0,0,0.006057967
Steroids: Targeted Antivirals,-0.062193128,2.14038E-05,0.190974427,0,0,-0.135947113
Steroids: Untargeted Antivirals,-0.076574284,0.598534236,0.335218615,0,0,-0.050592391
Steroids: Spike Protein Monoclonal Antibodies,1.056261664,0,0.648898547,-0.342509674,-0.088699392,0
Steroids: Immunomodulator Monoclonal Antibodies,-0.274985199,-0.058053541,0.913368673,0.48626847,-1.117781389,0.051182986
Steroids: Antibiotics,-0.18373618,-0.14545993,0,0.706300885,0.306570738,-0.049062343
Steroids: Anticoagulants,-0.600341771,0.037797072,0,0.240821272,0.213293004,-0.033238008
Steroids: Miscellaneous,0,-0.045734726,0.375476821,0.293862733,-0.015749038,-0.020787687
Anticoagulants: Targeted Antivirals,0.222059989,0,0,0,0.186409336,-0.525005073
Anticoagulants: Untargeted Antivirals,-0.288516167,0.164761749,-0.158980204,0,0,0.048623886
Anticoagulants: Spike Protein Monoclonal Antibodies,0.312367614,-0.007828537,0,2.418433986,-0.324113783,0
Anticoagulants: Immunomodulator Monoclonal Antibodies,0.000156885,0.014896976,-0.950857597,0.043627373,0,-0.043911804
Anticoagulants: Antibiotics,-0.202784092,0.077178627,0,-0.095799832,0,0
Anticoagulants: Miscellaneous,-0.27902952,0,0,-0.223974442,0.004075959,0.001537643
