pre-delta ERA,Week1 level 3,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,4.74540990531548 (0.0670305046834614) ((0)),1.86749374921311 (0.0695038185407031) ((0)),-2.88735710393523 (0.155068513736279) ((0)),-2.81496285192807 (0.158260690146566) ((0)),-0.910583698665282 (0.0794269286049844) ((0))
CCI,-0.134255039147892 (0.00602448818997514) ((0)),0.00094099768273632 (0.00346714616230442) ((61)),0.0132796626122325 (0.0191481208346453) ((42)),0.0545571713912329 (0.0255952943785958) ((1)),-0.0115203635819371 (0.00862649592136164) ((9))
MALE=TRUE,-0.274393983492385 (0.0331020120104271) ((0)),-0.0537835783856608 (0.0396071192472208) ((15)),0.0809742442561499 (0.0876647323371296) ((26)),0.115565667017162 (0.0917451979193932) ((8)),0.0138899235360949 (0.0260158796648419) ((61))
Ethnicity=NonWhite,0.154540686825339 (0.0394840736298527) ((0)),0.0143794785804327 (0.0330584462184977) ((60)),-0.192969516332363 (0.140912276512316) ((11)),0.0446976893659473 (0.0972740486548769) ((29)),-0.0938635014969463 (0.0506607812752993) ((8))
AGE>60,-0.208541361699723 (0.0614954354427528) ((0)),0.0648975784790204 (0.0625892488663388) ((22)),-0.102044562120834 (0.103635731844916) ((18)),-0.0199395657781114 (0.0640141032938246) ((62)),1.79832812084087 (0.0757276167699049) ((0))
Antivirals,-0.0762584486114833 (0.0833238202293929) ((19)),-0.47550810459294 (0.120377031378242) ((0)),0.0540999915569219 (0.102498718942666) ((54)),-0.00837287108480152 (0.089402222784735) ((77)),0.54840660393145 (0.176642484383473) ((0))
Spikemonoclonal,0.0197271865190318 (0.116009095099727) ((70)),0.434109580175098 (0.363539427531631) ((14)),-0.412195366935358 (0.361094512061999) ((14)),0.111799029263299 (0.17315188074112) ((43)),-0.759197466046982 (0.696194601934746) ((10))
Immunmodulator,-0.888953391482957 (0.390455588915944) ((0)),-0.146277247130248 (0.189536740386421) ((25)),0.508171493683208 (0.857203980225979) ((33)),0.0170743260955736 (0.0782610247732762) ((58)),0.251406626722272 (0.331908258129838) ((25))
Steroids,0.247668147885692 (0.10077659653436) ((0)),-0.0558066898885321 (0.0921216384098575) ((59)),-0.354694788687693 (0.187302099545421) ((2)),-0.114701304774209 (0.148611332067362) ((39)),0.27362979441947 (0.122653776014537) ((0))
Antibiotics,0.0932997662832037 (0.0879384224001381) ((8)),-0.19329148521885 (0.092525970127547) ((4)),-0.0038614854459009 (0.0833229673130039) ((75)),-0.26870798945905 (0.209262265177585) ((15)),0.0672673484289274 (0.0893390624343181) ((20))
Anticoagulants,-0.0043503200916634 (0.0165526832044464) ((77)),-0.421741453204207 (0.0385603235763193) ((0)),0.319238218722102 (0.205065961697986) ((6)),0.288362146372404 (0.176346584979339) ((5)),-0.0519647240445971 (0.0508644337792132) ((19))
Pressors=TRUE,-1.3417111047131 (0.137811389161408) ((0)),-0.372729105823462 (0.143719969254558) ((1)),-0.000312506263325805 (0.00312506263325805) ((99)),1.15642060237724 (0.155493895730768) ((0)),0.4992487167405 (0.142328067348087) ((0))
Race=Other,-0.0726657163443008 (0.07823984921518) ((14)),-0.06306461844449 (0.0760253936185032) ((22)),0.116768274747828 (0.145270130255346) ((25)),0.0100119539523122 (0.0926585608713125) ((44)),0.211150988507692 (0.0904301688701473) ((3))
Race=Other,-0.0237124182043468 (0.0244975662582273) ((23)),-0.00942938714774047 (0.0193485286344747) ((60)),0.315601140243352 (0.124389461711982) ((1)),-0.102694830748953 (0.0918987168795822) ((18)),0.14640161346231 (0.0455595207565536) ((1))
CCI*Antivirals,-0.0295738013398995 (0.0161794862744474) ((7)),0.0244042551345034 (0.0162224273774458) ((7)),-0.00887478807344904 (0.0190829229626214) ((45)),-0.0187065196148446 (0.0216281566932879) ((30)),0.0183554277948588 (0.0172589416601394) ((21))
CCI*Spike Protien,0.0330174130253806 (0.032089734496744) ((26)),0.0124265379388489 (0.0232215012422804) ((60)),-0.0645442618542819 (0.0362935299469733) ((4)),-0.412982582413068 (0.103918708270524) ((0)),0.087640088511495 (0.0662564733871933) ((15))
CCI*Immunomodulator,-0.00152932634517056 (0.0216257086763656) ((29)),0.00681247082425239 (0.0197018361125348) ((24)),0.0114723712349569 (0.0495543196832397) ((19)),-0.0240939259078264 (0.0495135983762036) ((16)),-0.006789661664965 (0.0252289565865724) ((28))
CCI*Steroids,0.00664698498320814 (0.00903304400464641) ((41)),-0.0269303483586544 (0.00971747175539464) ((1)),0.0347040050886219 (0.0247109709904576) ((8)),0.00632389760768199 (0.0126867349715777) ((61)),-0.0284108859922772 (0.0110691421172257) ((1))
CCI*Anibiotics,-0.0135394193278389 (0.00648244960366047) ((1)),0.00120659080216647 (0.00596228237697224) ((41)),0.0508425478342705 (0.0213182940048523) ((0)),-0.0158902775604993 (0.0189290919916148) ((26)),0.00194869621205663 (0.00496589007992972) ((43))
CCI*Anticoagulants,-0.00571930728397992 (0.00602049408616721) ((25)),0.00181420679210395 (0.00485817913674542) ((52)),0.0318221253813802 (0.024422497806606) ((17)),0.0014958141300074 (0.0185425060790195) ((41)),-0.0246351499753662 (0.0115711386379485) ((3))
Steroids*Antivirals,0.0110076943595134 (0.0443845338048257) ((49)),-0.0424307655118616 (0.0575404096113355) ((20)),0.2078070272797 (0.23513210546217) ((21)),0.0987331390235793 (0.17091541912457) ((36)),-0.154953335953792 (0.0840615833558502) ((4))
Spike Monoclonal*Steroids,0.847465874921233 (0.384272338661873) ((4)),-0.246434399309341 (0.396223634382269) ((31)),0.358018105009324 (0.521408428045225) ((51)),-0.302053183485157 (0.914470794442143) ((28)),-0.206417302648613 (0.384514341693661) ((37))
Immunmodulator*Steroids,-0.284412059400452 (0.179580364296299) ((6)),0.0072309364143329 (0.199471382947385) ((35)),1.05124478994205 (1.16367984857955) ((14)),0.0929335198782628 (0.401087655390982) ((26)),-0.0658576818038067 (0.181989319640894) ((37))
Steroids*Antibiotics,-0.0727054652961554 (0.0549691593948223) ((7)),-0.036650491023316 (0.0539773576715111) ((31)),0.142436494649111 (0.178354185587814) ((31)),0.911280381952708 (0.214249937014321) ((0)),-0.0188817464648844 (0.0418694467842257) ((49))
Anticoagulants*Steroids,-0.791404491188994 (0.0794471807886292) ((0)),0.137440313416628 (0.0918795616917544) ((9)),-0.035933107065755 (0.121044788114674) ((66)),0.167889159348968 (0.176503452450325) ((26)),-0.015490080106481 (0.0419477090160308) ((38))
Antivirals*Anticoagulants,0.190656458591809 (0.0967795098273138) ((2)),-0.0558179426492475 (0.0854341220889884) ((34)),0.0374188829803239 (0.1051074603312) ((64)),0.0184944036572078 (0.0481177557366012) ((57)),-0.581646258801863 (0.173393813273306) ((0))
Spike Monoclonal*Anticoagulants,0.144462503074735 (0.213643036799305) ((27)),-0.112285510202395 (0.258241779237014) ((35)),-0.100114100173815 (0.178518709353992) ((68)),2.03864325157583 (0.888703876763414) ((7)),-0.182038015244333 (0.475921860924976) ((23))
Immunomodulator*Anticoagulant,-0.0236298423284657 (0.334185209505865) ((25)),-0.0191250552048604 (0.188503012046691) ((33)),-1.25832618495453 (1.43132986595107) ((19)),0.254093785072656 (0.308720407699335) ((29)),-0.107552459080307 (0.277542437838036) ((30))
Antibiotics*Anticoagulant,-0.187911836287079 (0.0859922819771967) ((4)),0.0965124596916823 (0.0940413119005166) ((10)),0.0323038612388237 (0.116563020005083) ((55)),-0.0948467375848703 (0.182866224284869) ((38)),0.00484776103573123 (0.0632798264431953) ((45))
