omicron ERA,Week1 level 9 considering OS 5,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,4.28197872103105 (2.74979068802808) ((0)),0.973304791205623 (2.42097419412155) ((0)),-10.8365103278687 (2.91384356281924) ((0)),7.26640485159965 (2.66668930014737) ((0)),-1.68517803596763 (3.07798857125226) ((0))
CCI,-0.398258871543963 (0.345661604905641) ((0)),0.1567571543406 (0.232824073152491) ((2)),-0.128289214523735 (0.0661527626450131) ((3)),-0.0227966957567467 (0.302327748188665) ((4)),0.404027229516086 (0.388896039386932) ((1))
MALE=TRUE,-0.933882566037106 (0.807388992227549) ((1)),-1.006313882408 (0.979390058122272) ((4)),4.19042942129694 (1.4848931553737) ((0)),-0.741457783221489 (0.759057028393043) ((4)),-1.05538899187637 (1.18848753616915) ((1))
Ethnicity=NonWhite,1.61913456551793 (1.25880929551267) ((0)),0.507490467697893 (1.20595588409186) ((3)),-2.63022274066777 (2.07345651882125) ((2)),-0.486904280966343 (1.50625105212725) ((3)),0.808412532095769 (1.13688317015954) ((3))
AGE>60,-1.75295655790101 (1.88695610693996) ((3)),-1.14972159883553 (1.46636051902519) ((1)),7.5774194534585 (1.7919079830268) ((0)),-1.82366419343195 (1.08577581051274) ((0)),-2.1577118239584 (2.02811902392272) ((0))
Antivirals,-1.90379001213985 (1.40834306792271) ((0)),3.29909921616738 (2.0745907566553) ((0)),-0.176923917997195 (0.263824054106403) ((40)),0.187675770196779 (1.68037870875172) ((3)),-1.0464547210224 (1.17343570282328) ((2))
Spikemonoclonal,-0.547247401203674 (0.513414431524872) ((37)),-0.00373092370329622 (0.0205869151024481) ((96)),0 (0) ((100)),0.716833577138438 (0.599861284955416) ((35)),0 (0) ((100))
Immunmodulator,3.91028760902419 (2.48365779678005) ((0)),-2.10908497042955 (1.46308133834004) ((4)),-0.00465891392053461 (0.0296109721243875) ((84)),-1.509970400901 (2.30770623802463) ((0)),-0.039615087932087 (0.997112064152978) ((7))
Steroids,-1.06968401485973 (0.882734331483386) ((2)),0.306142828504172 (0.944841488019008) ((7)),1.41111401159098 (0.910585442700439) ((1)),-0.375309987267449 (1.08024448685034) ((2)),-0.263620612448705 (1.24329384950924) ((7))
Antibiotics,0.467451729970937 (1.36753831952323) ((2)),0.108886594064183 (1.4858300279343) ((4)),-0.594673363417234 (0.375016320530987) ((8)),0.927784716793694 (1.1424333461503) ((3)),-0.836073580452519 (1.85123303786549) ((0))
Anticoagulants,0.894298918601688 (1.74551112860554) ((11)),1.14038732762794 (1.17940483539482) ((25)),0.0337146704743297 (0.1157905371697) ((88)),-3.61232748158284 (2.43969972458456) ((1)),0.842298875214978 (2.76730628958445) ((5))
Pressors=TRUE,-0.950052304578406 (1.12976281750965) ((2)),0.971592159426015 (1.28007292609753) ((2)),-0.180893917482125 (2.13254587093067) ((0)),-0.0511992094621614 (0.922695862062288) ((4)),0.149503139310379 (1.1686730131366) ((4))
Race=Other,-0.819300014381464 (1.62149760327902) ((1)),-3.35936725499165 (2.13982168316535) ((0)),-0.0455745588075556 (1.54373731535536) ((11)),-0.529511901164142 (1.36480456878278) ((8)),4.97453251494266 (2.08333755004971) ((0))
Race=Other,-1.32499466026794 (1.53119846124778) ((0)),-1.77901534130252 (1.55934156171257) ((1)),0.16851067603258 (1.19455203623452) ((5)),-0.584555133499468 (1.06959516094051) ((3)),3.69477540510194 (1.71359205927253) ((0))
CCI*Antivirals,0.784800755224617 (0.431602205654556) ((0)),-0.882534023376226 (0.703204370776546) ((2)),-0.0533239448603465 (0.0884076581536724) ((32)),0.485307998919527 (0.524083111611657) ((1)),-0.340992105923278 (0.43383954394287) ((1))
CCI*Spike Protien,-0.093976725383982 (0.087331357569472) ((37)),-0.000386213393141927 (0.00296020974120439) ((97)),0 (0) ((100)),0.118238634702087 (0.0998578244108845) ((35)),0 (0) ((100))
CCI*Immunomodulator,1.12663031600459 (1.44366816638199) ((4)),2.60449517701256 (1.61073599450089) ((2)),-0.00135660125519448 (0.0125699475830986) ((78)),-3.26266777008399 (1.2407025317939) ((0)),-0.451512729664528 (1.34002264931741) ((20))
CCI*Steroids,0.418451148058179 (0.49078311818054) ((0)),-0.105146557201404 (0.442750146623221) ((2)),-0.021233428505503 (0.0803603168771134) ((8)),-0.100822851546357 (0.354902721013362) ((0)),-0.183882448693001 (0.481651084407859) ((0))
CCI*Anibiotics,0.138569746694759 (0.337231095794164) ((0)),0.0259232747379262 (0.359742847260721) ((1)),-0.129169255162159 (0.109016678862927) ((16)),-0.266533363184193 (0.30910168494852) ((0)),0.256193092034606 (0.432243292313584) ((1))
CCI*Anticoagulants,-0.228318936100429 (0.209113997003273) ((2)),0.191700037352966 (0.194472518929289) ((1)),-0.125884961981028 (0.0660179248893698) ((4)),0.336352802652804 (0.239197124404979) ((0)),-0.157121188862063 (0.317837305619441) ((2))
