delta ERA,Week1 level 7,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,2.38754409680374 (0.133231744294897) ((0)),0.720395394820829 (0.187174714453626) ((0)),-2.65628434210358 (0.335151132323402) ((0)),-0.621601073761329 (0.22690587714024) ((0)),0.169945924240339 (0.151892098561224) ((0))
CCI,-0.0941008245913291 (0.0340934626434169) ((0)),0.0523787670641951 (0.0306993399666391) ((1)),0.0105563423912734 (0.0187539489856541) ((59)),0.00282871678070172 (0.0264120015879207) ((29)),-0.0155731384860455 (0.0245643392344712) ((28))
MALE=TRUE,-0.0440219445899942 (0.0569695108409662) ((35)),-0.053090063166238 (0.0679087574281217) ((30)),-0.0976507630157453 (0.12605609260508) ((22)),0.0886307418390442 (0.0819082553925528) ((11)),0.158690176228162 (0.0739355526513855) ((5))
Ethnicity=NonWhite,0.0254039888022598 (0.0584063534657816) ((40)),-0.0999333935558848 (0.0847248727161824) ((12)),-0.151786451440437 (0.19063521507682) ((19)),0.420333333590132 (0.0915470093651175) ((0)),-0.000439541763315683 (0.0614215644330943) ((38))
AGE>60,-0.0128627609618602 (0.0493068646554889) ((45)),-0.0369790251557303 (0.0631187885207813) ((33)),0.0628322847712843 (0.111397222586401) ((20)),-0.0932704326241943 (0.0802828181718737) ((11)),0.774811280022358 (0.0712671483318616) ((0))
Antivirals,-0.655836083146094 (0.29460970761428) ((0)),-0.20797329906165 (0.243453571658481) ((20)),0.199282945814807 (0.401740816214789) ((45)),0.168901189459947 (0.273048843309298) ((36)),0.480635361568677 (0.293148562738708) ((8))
Spikemonoclonal,1.23551420063986 (1.15423830265237) ((22)),-1.37528577768201 (0.950725935360015) ((9)),0.437649819829921 (0.674602106765857) ((21)),-0.852825124026715 (0.806576601999739) ((22)),0.268135544689309 (0.734067505498434) ((39))
Immunmodulator,-1.29689291553139 (0.347108009132408) ((0)),0.225315439365294 (0.257079632190794) ((17)),0.00403177800137387 (0.156498672672678) ((58)),-0.217508810463082 (0.305891734230164) ((31)),0.577451118757706 (0.344600895133982) ((2))
Steroids,0.0574206721343994 (0.137085536118102) ((27)),-0.312730551938575 (0.219395452192595) ((10)),0.185085966115716 (0.307997830972577) ((35)),-0.212301801331007 (0.272621202354678) ((13)),0.107714724098149 (0.141331510576122) ((31))
Antibiotics,-0.0830969385771621 (0.188799819200473) ((27)),-0.593419971813602 (0.344161713990214) ((1)),0.692971242583878 (0.577471199020557) ((14)),0.0106142442574363 (0.219124874129727) ((41)),0.0963573737763868 (0.197054748929909) ((29))
Anticoagulants,-0.622085190155939 (0.164995049854145) ((0)),0.0223906008789441 (0.142011308201273) ((51)),0.629067627397725 (0.397183424914976) ((7)),0.229790583921389 (0.24847017211999) ((22)),-0.137926751092542 (0.152859569513613) ((25))
Pressors=TRUE,-0.795246520602817 (0.153048936397041) ((0)),-0.318103784221448 (0.149884276854641) ((1)),0.00449626111821246 (0.0290017673671248) ((92)),0.255792207682378 (0.157143666621492) ((7)),0.417276592417062 (0.144800582358423) ((0))
Race=Other,0.027508648428173 (0.0902395669303251) ((42)),0.0356935935136942 (0.0928540434278427) ((35)),0.726327208500832 (0.27421992189966) ((0)),-0.169721004244471 (0.146132373192159) ((12)),-0.0963337686353861 (0.0975223217708674) ((17))
