delta ERA,Week1 level 3,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,4.58529107783333 (0.0638903348738683) ((0)),1.67678965242637 (0.0695754082568154) ((0)),-2.89058352523717 (0.166953159497286) ((0)),-2.69510771258552 (0.13203877767169) ((0)),-0.676389492437006 (0.0866585194136528) ((0))
CCI,-0.153105176049352 (0.0126498335424753) ((0)),-0.0132525789817624 (0.013370185136345) ((15)),0.00820172085185429 (0.0130866041735897) ((55)),0.00325569557540045 (0.00787766463744764) ((73)),0.0415195145854228 (0.0178098143268225) ((0))
MALE=TRUE,-0.15172876334584 (0.0391844368462397) ((0)),0.0153168517889925 (0.0366203706885427) ((43)),-0.0079937440703064 (0.0733678522388657) ((63)),0.0935807822361736 (0.114377833282636) ((36)),0.00959097457742317 (0.0387990574027431) ((48))
Ethnicity=NonWhite,0.027179710837485 (0.0377722987668508) ((36)),-0.0212274515935409 (0.0341725227590542) ((49)),0.102286122523185 (0.131054443448175) ((38)),0.0325208646859422 (0.0774324790383544) ((58)),-0.233850737554623 (0.082413166928283) ((0))
AGE>60,-0.136973618604865 (0.0753208327126515) ((0)),-0.0712644574824451 (0.0748443029418839) ((34)),0.0401126399334631 (0.0711130554022973) ((63)),-0.0217045625748332 (0.0646914657872912) ((71)),1.06858406732116 (0.0920216930899046) ((0))
Antivirals,-0.00769528022811966 (0.0350675165877058) ((69)),-0.553078269922387 (0.107165773048394) ((0)),0.019801444756121 (0.0534015692429451) ((83)),0.0451385851740964 (0.0892001101212122) ((59)),0.00877681862527156 (0.027720685142631) ((71))
Spikemonoclonal,0.129769097122634 (0.156642034265737) ((34)),0.329403404951978 (0.206991332973876) ((4)),-0.0406221760778108 (0.08084203962216) ((75)),-0.00853923189985653 (0.0406850991440833) ((94)),-0.351138225795065 (0.254368688095853) ((14))
Immunmodulator,-0.5229428884641 (0.23247754100631) ((1)),-0.126327957575135 (0.167538498986858) ((40)),-0.00419216269442734 (0.018521222925028) ((92)),0.474420060502024 (0.309194764616607) ((7)),0.238755053664209 (0.203717533666036) ((14))
Steroids,-0.0224366287895699 (0.0451430972532743) ((51)),-0.174307714165539 (0.0758395702709411) ((2)),0.0025753678714638 (0.0119413793558305) ((92)),0.0357402559336534 (0.0753965877395076) ((71)),0.0096311783785239 (0.036181694513307) ((65))
