delta ERA,Week1 level 5,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,3.56731508737079 (0.167528243735498) ((0)),0.423807301515891 (0.201481680782485) ((0)),-0.732578231514224 (0.340738586381745) ((0)),-2.34375787521032 (0.442049121197961) ((0)),-0.914786282162136 (0.232368959729866) ((0))
CCI,-0.129611643666349 (0.0247399637191651) ((0)),0.0261414258748459 (0.0277718380305551) ((9)),0.0590984731470304 (0.0390553860318017) ((5)),-0.0488717499749856 (0.0511845617779187) ((8)),0.0590142988870885 (0.0324461653287214) ((1))
MALE=TRUE,-0.101345207656261 (0.0632265365345917) ((5)),0.0210857003156371 (0.0751859943094004) ((29)),0.0196229959091526 (0.0968093293165022) ((20)),0.0368046848605144 (0.119362664611615) ((17)),0.0221496530642646 (0.0623661001323231) ((20))
Ethnicity=NonWhite,-0.312137825071104 (0.0741064628376221) ((0)),-0.138733069144816 (0.101092515209356) ((6)),0.00324903686213199 (0.107355247793374) ((21)),0.503021706593515 (0.161974547015602) ((0)),0.0807535522711312 (0.0870465492641784) ((20))
AGE>60,-0.24919769360488 (0.0581948159984649) ((0)),-0.00195085914598988 (0.0537014176602717) ((43)),-0.206277855685465 (0.113167900320844) ((3)),-0.275116503382587 (0.136327049960286) ((3)),1.17220772966391 (0.0864301486382274) ((0))
Antivirals,-0.749514490820772 (0.179150070776101) ((0)),0.1975306862954 (0.237444840666604) ((6)),-0.532281308760418 (0.36145911936681) ((1)),0.597966325288237 (0.430758299732393) ((3)),0.383685480984836 (0.24724054113347) ((2))
Spikemonoclonal,1.00300416498194 (0.634221548738177) ((4)),-1.61177184362343 (0.95038282904936) ((4)),0.620986345356036 (1.08148696545679) ((5)),0.215828659084322 (1.11978276921995) ((9)),-0.363803342302293 (1.02982914029031) ((18))
Immunmodulator,-0.569191159390411 (0.188868142485304) ((0)),0.0681429091577433 (0.231416459643029) ((11)),-1.04306468516636 (0.46978210421163) ((0)),1.00853158388866 (0.449977826314751) ((1)),0.478893722123234 (0.260775453279255) ((0))
Steroids,0.799068168097259 (0.185982130037678) ((0)),-0.0912061841797143 (0.23046280627542) ((12)),0.392773621220112 (0.389650969095381) ((6)),-0.456940464132143 (0.522283017465323) ((11)),-0.5733797345896 (0.256259630101639) ((1))
Antibiotics,0.176975256546665 (0.209418165925985) ((9)),-0.169987257232835 (0.274632695347733) ((9)),-0.165914809982171 (0.416951925466545) ((7)),0.470623070402327 (0.43725550700408) ((4)),-0.277138109777177 (0.305757718569991) ((9))
Anticoagulants,0.285714873324117 (0.193033778118228) ((8)),-0.525066731197902 (0.245903209888355) ((1)),0.0167492166477464 (0.369865641100913) ((7)),0.331775329884434 (0.447136303032714) ((3)),-0.137531927691372 (0.230935338035353) ((15))
Pressors=TRUE,-0.942250274285803 (0.0574835191695993) ((0)),-0.231647189080777 (0.0932802649371658) ((0)),-0.342897453523803 (0.118574459871643) ((0)),1.14761477878275 (0.107749728398375) ((0)),0.700170551255784 (0.0734282459078003) ((0))
Race=Other,0.0352764668976845 (0.0813802340896938) ((31)),0.0333830517006354 (0.134146401774467) ((17)),-0.117437928849204 (0.17355055725549) ((10)),-0.32397794952419 (0.285275175407094) ((4)),0.264718055155546 (0.14059365771357) ((1))
Race=Other,-0.184391631151383 (0.0822383528306546) ((2)),0.00690227828020354 (0.0782406708509037) ((31)),-0.294781891186906 (0.144917759017072) ((4)),0.209231729043134 (0.207573659363628) ((12)),0.325821982754282 (0.140605604013399) ((0))
CCI*Antivirals,-0.00534940614796676 (0.0155173211035158) ((27)),-0.0314876452435309 (0.0226880046085346) ((5)),0.00286685413442021 (0.0258208997927356) ((21)),0.00512097040218829 (0.0353586854231213) ((12)),0.0333497681429966 (0.022626079634384) ((2))
CCI*Spike Protien,-0.00744964156905851 (0.0390659757159581) ((31)),0.05071976260083 (0.0594822563536415) ((17)),-0.0215313419505234 (0.0719824191183543) ((8)),0.0534430885132709 (0.0681095997857466) ((13)),-0.0909901933228726 (0.0779513556812159) ((6))
CCI*Immunomodulator,-0.0561349150904151 (0.0198580234023024) ((0)),-0.01070908352893 (0.0183698403718934) ((38)),-0.0351896837398812 (0.0325278773223663) ((13)),0.0759340588129951 (0.0400503629012409) ((3)),0.0447334964529492 (0.0196251974022028) ((0))
CCI*Steroids,0.0228077893857066 (0.0184465771805794) ((10)),-0.00948412267936799 (0.0224914673527166) ((21)),-0.0242642929377924 (0.0349970929062611) ((11)),-0.00686987113122939 (0.0385582036502322) ((5)),0.00844791972510935 (0.0195408574091729) ((16))
CCI*Anibiotics,0.00216239900145535 (0.0123355022863606) ((23)),-0.00492879897336661 (0.0194414245343039) ((20)),-0.0188609154028381 (0.0240189842535802) ((13)),0.040120957282518 (0.0362722922645949) ((5)),-0.00877292821113852 (0.017648566091094) ((15))
CCI*Anticoagulants,0.00242148945160524 (0.0253380778177783) ((19)),0.0332975997184238 (0.0272321607863416) ((9)),0.0357984259563981 (0.0368574775212625) ((8)),-0.024942571170631 (0.0449520663170276) ((6)),-0.0639594724029988 (0.0317506112730322) ((3))
Steroids*Antivirals,0.227886346873984 (0.126584428477215) ((2)),0.612990326810935 (0.177766767592141) ((0)),-0.00608150061499215 (0.232763526997587) ((18)),-0.573514907558711 (0.319870802139131) ((0)),-0.270609459846716 (0.188664966437589) ((4))
Spike Monoclonal*Steroids,-0.897012920829338 (0.448540095066937) ((0)),1.77585507212545 (0.975247040351413) ((2)),-1.52237459833691 (0.866930752707898) ((2)),0.988432221275211 (1.02357823807182) ((11)),0.0677208553778684 (0.582663372796983) ((19))
Immunmodulator*Steroids,-0.58198647541701 (0.134819323991098) ((0)),-0.59435639579596 (0.187988713203027) ((0)),0.581438154309458 (0.344736902889445) ((0)),0.869427179635231 (0.342166476582126) ((1)),-0.115209708778938 (0.156493296983186) ((15))
Steroids*Antibiotics,-0.0232553109412043 (0.0921830627803421) ((21)),0.0237882415653578 (0.152104934279862) ((13)),-0.0126087027214709 (0.219467216182588) ((7)),-0.264386263847356 (0.271457769920928) ((8)),0.283798695231479 (0.169912476191302) ((7))
Anticoagulants*Steroids,-1.27680739876709 (0.178389519894825) ((0)),-0.154003539690878 (0.249252005055429) ((9)),0.0455985035010349 (0.34128941867317) ((8)),0.705547191499468 (0.434215435640525) ((1)),0.531101920766101 (0.260484452399501) ((0))
