pre-delta ERA,Week1 level 9,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,0.822334439126435 (0.886471308797289) ((0)),0.399570607157613 (1.17608154061015) ((0)),-1.5911103975654 (1.11843665344678) ((0)),1.02542175923177 (0.636141826633759) ((0)),-0.656216407950423 (0.556596272557147) ((0))
CCI,0.0665097977723927 (0.127791430976397) ((7)),0.0251485297698831 (0.151774582574235) ((3)),-0.105930390610721 (0.108062180359192) ((5)),0.13037623568582 (0.108177920000115) ((3)),-0.118588597345768 (0.101787146238822) ((3))
MALE=TRUE,-0.068268487254276 (0.191398536218614) ((10)),0.18965894647484 (0.222279066328582) ((6)),-0.330269892545529 (0.328409774647614) ((4)),-0.0671054864776237 (0.126535291240187) ((21)),0.235057869584075 (0.161357975086095) ((6))
Ethnicity=NonWhite,-0.0957634546448508 (0.259038425458228) ((11)),-0.378969928495919 (0.294618204575766) ((3)),0.282945685241301 (0.396103502289837) ((5)),-0.0280000842529665 (0.14474410683169) ((20)),0.199042605769665 (0.173861337443301) ((9))
AGE>60,0.0535196633178244 (0.305804733775741) ((12)),-0.543618406369434 (0.456570095788139) ((4)),-0.510651713936877 (0.793299053092902) ((9)),0.0668164435696209 (0.219823747547151) ((17)),0.922222026328718 (0.260481087622472) ((0))
Antivirals,-0.374884574186847 (0.534257115118931) ((13)),-0.121010199545691 (0.415913610200075) ((14)),1.82779125308485 (1.60575165253973) ((3)),0.204426629235381 (1.02554475802578) ((2)),-1.31554270796917 (0.710533313149165) ((0))
Spikemonoclonal,0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100))
Immunmodulator,0.0287028492036329 (0.737896718949134) ((8)),0.596531730226822 (0.608550179142583) ((2)),-0.66985198237665 (0.482905448885878) ((10)),0.395042293206621 (1.15522513091606) ((6)),-0.43938262901758 (0.960293323592055) ((13))
Steroids,-2.62424152442004 (0.571410213373739) ((0)),-0.368245219675045 (0.850905794428734) ((6)),0.76724504935759 (0.645281973519308) ((3)),0.00247809573263562 (0.54661217585266) ((6)),2.1357111051514 (0.51192405594081) ((0))
Antibiotics,0.0153357810456471 (0.234342696797551) ((23)),0.633566878652709 (0.367092228600522) ((2)),-0.512477271973126 (0.736017595502298) ((7)),0.546332323326621 (0.926701407525547) ((2)),-0.712230366921398 (0.438314296762875) ((1))
Anticoagulants,-0.415092489288283 (0.826185540318925) ((7)),-0.920643076246021 (1.16934828229795) ((2)),0.307167704324435 (1.13287859804369) ((7)),-0.101696585471242 (0.608777408230512) ((7)),1.35886822597079 (0.585427252185327) ((0))
Pressors=TRUE,-0.233000355475478 (0.179102226859869) ((7)),-0.671294937688567 (0.208577599813131) ((0)),-0.0928731581607159 (0.297280631796218) ((10)),0.502545978472165 (0.169083719325774) ((0)),0.538330493202212 (0.197746471156499) ((0))
Race=Other,0.36524803418386 (0.346291616407178) ((4)),-0.156545268108719 (0.33122709164818) ((10)),-0.31142311772131 (0.538042140478536) ((2)),0.210174824958926 (0.207755525390682) ((9)),-0.11735558304772 (0.211801036675907) ((12))
Race=Other,0.247826731927485 (0.263606225056718) ((9)),-0.199608487904178 (0.26845822179426) ((6)),0.141188692799336 (0.421702207077316) ((9)),0.0318392791372487 (0.15793562138276) ((10)),-0.148824357454573 (0.174272644514694) ((5))
CCI*Antivirals,-0.17380819382931 (0.12870840928193) ((0)),0.0613332924313789 (0.102299752192591) ((8)),0.0252542076245145 (0.163002910447149) ((7)),-0.113832655393608 (0.081644418637589) ((6)),0.210573055285286 (0.0889951892802063) ((0))
CCI*Spike Protien,0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100))
CCI*Immunomodulator,0.291208900025221 (0.228237536959876) ((4)),0.142453157380478 (0.152132292976494) ((12)),-0.135003084233721 (0.144663008078428) ((6)),0.109042652508259 (0.212428019742305) ((7)),-0.445516548391361 (0.536931219228428) ((2))
CCI*Steroids,0.110051042475162 (0.0822858405653574) ((0)),-0.11282294337265 (0.0711758245206992) ((2)),-0.110296825110581 (0.106809478380143) ((2)),0.0406038521455783 (0.0516573012574994) ((5)),0.048685900434555 (0.0513119493666757) ((7))
CCI*Anibiotics,0.108656561436891 (0.104191892640009) ((5)),-0.171717525387965 (0.0926190481484311) ((1)),-0.156103678461392 (0.140035193204212) ((3)),0.0618982729691797 (0.0516744582175305) ((6)),0.132070849751265 (0.0902175254250871) ((3))
CCI*Anticoagulants,-0.19881955132801 (0.122608888568453) ((3)),0.127416686220272 (0.150839605439381) ((3)),0.194645871394344 (0.116249701134846) ((1)),-0.105804930416878 (0.103633013741905) ((9)),-0.0127626955607977 (0.0991456408358865) ((2))
Steroids*Antivirals,1.20095180229162 (0.738732925277735) ((0)),-0.100298608470609 (0.585880752742158) ((8)),-1.20831488501918 (1.16150213676512) ((2)),0.918618232162306 (0.52251168317746) ((2)),-0.882356218665031 (0.573000266951389) ((3))
Spike Monoclonal*Steroids,0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100))
Immunmodulator*Steroids,-0.765500927508359 (1.41998435030713) ((4)),-1.87792602313865 (1.2047795636469) ((1)),1.09083396785355 (1.18551569946977) ((2)),1.00905110767752 (1.37938595959907) ((7)),0.586358568100931 (1.41165615774336) ((5))
Steroids*Antibiotics,-0.300991746227291 (0.472055448257583) ((7)),-1.40162782491547 (0.425781515127255) ((0)),2.27623699747935 (0.669781594646331) ((0)),0.117592886255703 (0.278443227961087) ((10)),-0.40809281239268 (0.46555743720237) ((5))
Anticoagulants*Steroids,1.93715000591866 (0.585070846526037) ((0)),1.4689572418343 (0.928323838056329) ((1)),-0.587490823110778 (0.574986458183223) ((6)),-0.417103574771575 (0.51778884682531) ((10)),-2.26751180456544 (0.46861190344118) ((0))
Antivirals*Anticoagulants,0.237084770818946 (0.330572824675325) ((11)),0.41455765118438 (0.352642679481182) ((7)),-1.11429771417932 (1.34788330676548) ((0)),-0.66974944993095 (1.00601188152077) ((6)),0.763120489231695 (0.576314644553067) ((4))
Spike Monoclonal*Anticoagulants,0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100)),0 (0) ((100))
