omicron ERA,Week1 level 3,,,,
Coefficent,OS1(mean (std))(#experiments with nonsignificant feature),OS3(mean (std))(#experiments with non significant feature),OS5(mean (std))(#experiments with non significant feature),OS79(mean (std))(#experiments with non significant feature),OS11(mean (std))(#experiments with non significant feature)
Intercept,4.91293719052152 (0.082995030426595) ((0)),2.21901095867357 (0.0889810793549649) ((0)),-2.98592808814747 (0.208256104267141) ((0)),-3.14633533771562 (0.183831488761168) ((0)),-0.999684723331997 (0.114115988889304) ((0))
CCI,-0.137630835108144 (0.00736714182495937) ((0)),0.00228663023982913 (0.00466544812348963) ((38)),-0.000116658038825692 (0.00488421363627253) ((79)),0.0288585985708099 (0.0137622371306889) ((0)),0.0620980809887585 (0.0152037814768556) ((0))
MALE=TRUE,-0.101257932312632 (0.0595789358804692) ((9)),0.098860367219455 (0.0633558823008965) ((9)),-0.0880017747254835 (0.103296196226271) ((25)),-0.0308688633069228 (0.0826523930505152) ((40)),0.096367573157537 (0.0714527768578984) ((10))
Ethnicity=NonWhite,0.140221658392831 (0.0592939353771708) ((0)),-0.0419660626069695 (0.0589123164562794) ((29)),-0.155025178164523 (0.153938210891371) ((18)),0.0490778104065609 (0.111524737944061) ((44)),-0.0120634689449639 (0.0755127963014767) ((31))
AGE>60,-0.206325033752487 (0.0654953760366848) ((0)),-0.350839418771417 (0.0679637635913449) ((0)),0.105498611511528 (0.120427761524846) ((23)),-0.069126380213156 (0.0897961177758871) ((34)),0.714444767235912 (0.100986874362357) ((0))
Antivirals,-0.21448552404852 (0.0920381466859397) ((2)),-0.49993594261259 (0.118659233720676) ((0)),0.0743281565843406 (0.0877958672534413) ((33)),0.0950217968386672 (0.10013574939344) ((28)),0.430591065753928 (0.144457392555665) ((1))
Spikemonoclonal,0.134299326203973 (0.46476766654969) ((29)),0.40169718803825 (0.502199213930672) ((24)),-2.58214318292633e-06 (2.58214318292633e-05) ((99)),-0.00409577347168011 (0.0159991709147539) ((87)),0.238515338267161 (0.641044537201931) ((30))
Immunmodulator,-0.412908598327915 (0.306535313741943) ((9)),-0.104502977833869 (0.208318128901304) ((27)),-0.0200069054981518 (0.0606222733720327) ((82)),0.619122412309898 (0.506544489544508) ((14)),0.0837377073255064 (0.26476194821343) ((36))
Steroids,-0.18944892085857 (0.0798483008959693) ((2)),-0.351160131139466 (0.0762601664998176) ((0)),0.218585712687171 (0.112557003638692) ((0)),0.0355542141169906 (0.0555612864196384) ((51)),0.177993237730956 (0.106100958555521) ((4))
Antibiotics,0.101804622083685 (0.0836791468765242) ((11)),-0.147886971165513 (0.0895601650478376) ((3)),-0.021299722531966 (0.0485436249262594) ((66)),0.000920851669671416 (0.0218309849569937) ((84)),0.0214086990024801 (0.0836485194664772) ((41))
Anticoagulants,-0.213112868432917 (0.0827447664395136) ((0)),-0.279326594686003 (0.0832116676305451) ((0)),0.191195977518305 (0.100183435088915) ((2)),0.0531260715185035 (0.0763893497920509) ((43)),0.148624195822174 (0.096093242702068) ((5))
Pressors=TRUE,-1.13734500868148 (0.0929590107021136) ((0)),-0.299735580736486 (0.0950091347620916) ((1)),0.0499879091784732 (0.114103070296155) ((42)),1.29365638092223 (0.185131771792412) ((0)),0.0928830109946597 (0.0965331799044892) ((30))
Race=Other,0.168292582984355 (0.0668610184801832) ((2)),0.0290840145802522 (0.0654601702865157) ((27)),-0.569934042574672 (0.117949180099567) ((0)),0.0350105663717089 (0.115240548359089) ((43)),0.0401211666877179 (0.0906202188747478) ((32))
Race=Other,-0.0361888710132694 (0.0475251728415093) ((21)),-0.0437141336559267 (0.0506616469735266) ((17)),0.0597129649515555 (0.0942261793509299) ((30)),-0.0303420176184641 (0.076590372287018) ((45)),0.132594909854501 (0.0741196502917249) ((5))
CCI*Antivirals,0.00439698740639374 (0.00671248557996382) ((36)),0.0169738070028361 (0.0104654517664993) ((5)),-0.031571464210193 (0.022237493570763) ((6)),0.0239758875858423 (0.019628813448836) ((18)),-0.0426851855905973 (0.0162838342028977) ((0))
CCI*Spike Protien,0.0201061715033289 (0.0486987158881382) ((11)),-0.0224301942143295 (0.0671362273740453) ((13)),-0.000293214207109548 (0.00270793069059568) ((97)),-0.0024542310139615 (0.00593608823597845) ((69)),0.0898902638955788 (0.074494408043772) ((14))
CCI*Immunomodulator,-0.00332981941347339 (0.0212909126628661) ((39)),-0.0334639608958001 (0.0334259835937531) ((11)),0.0627815326825293 (0.0512235670915445) ((9)),-0.0584244435433507 (0.0642486716756559) ((18)),0.0249419759099909 (0.0368961049368079) ((31))
CCI*Steroids,-0.0150938505728824 (0.00933757309760342) ((2)),-0.00258719859819435 (0.00753821868962687) ((24)),0.0048336857027793 (0.0092671489486932) ((48)),-0.00214446531871815 (0.00946301459359599) ((52)),0.00775186003050852 (0.0128316149102717) ((25))
CCI*Anibiotics,-0.00812206432898995 (0.00857788792023284) ((16)),-0.00360541294320056 (0.00821416089262786) ((28)),0.0199066462117698 (0.0173774418765961) ((18)),0.00347223253762492 (0.0163127478449454) ((35)),-0.00169551448599651 (0.0114333200870701) ((28))
CCI*Anticoagulants,0.00375334033479774 (0.00549905608364841) ((37)),-0.016967297785218 (0.0094665178070311) ((3)),0.0119278048061626 (0.0113925257905854) ((26)),0.0131852514484331 (0.0130597100733476) ((25)),-0.0256712946132078 (0.0143376158955982) ((2))
Steroids*Antivirals,-0.00556246166802214 (0.0496199768064305) ((28)),-0.017999184994997 (0.0560059278560978) ((34)),0.232689965299632 (0.171456886178967) ((6)),-0.00523278605424672 (0.103235832940798) ((46)),-0.120477159203215 (0.118773639825721) ((17))
Spike Monoclonal*Steroids,0.865035548098596 (0.533821251504186) ((4)),-0.152987132171219 (0.43416796133365) ((28)),-0.00147623596341854 (0.0139704438451962) ((97)),-0.00928025119860294 (0.0268121481459228) ((85)),0.11561419211359 (1.04368023890721) ((22))
Immunmodulator*Steroids,-0.408175533408171 (0.269997975690957) ((10)),-0.364074582703181 (0.261156048602049) ((7)),0.0968272507467358 (0.161117025697277) ((53)),0.391565815668635 (0.496374795363021) ((24)),0.121839441128988 (0.216399961333233) ((35))
Steroids*Antibiotics,-0.0316257473975991 (0.0663132505809188) ((29)),0.0769118226758082 (0.0692096498999627) ((16)),0.0187098274121659 (0.0926498052888901) ((47)),0.0517368405164505 (0.0991783258736709) ((38)),-0.216803519962168 (0.130362091080137) ((6))
Anticoagulants*Steroids,-0.244641914973858 (0.0764051005015563) ((0)),0.0400553319924033 (0.051069646817479) ((32)),0.265489040349032 (0.129214193756099) ((1)),0.087614829971034 (0.083960975699858) ((18)),-0.286696885642677 (0.109782127420136) ((0))
Antivirals*Anticoagulants,0.00493252142774755 (0.0568437942376018) ((36)),0.00940520367851408 (0.0812800742561265) ((25)),0.0448813806392004 (0.0731244846970152) ((47)),0.0769067035703224 (0.0991689776074859) ((39)),-0.282848203628112 (0.132890316147449) ((0))
Spike Monoclonal*Anticoagulants,0.220442205785512 (0.495225190185576) ((17)),0.589647835489556 (0.52442332029906) ((10)),-0.0012964148500713 (0.00669891641237048) ((94)),-0.00374477893939936 (0.0154785429863081) ((92)),-0.580460241433567 (0.89970941400165) ((31))
Immunomodulator*Anticoagulant,-0.26701214470372 (0.26758121927608) ((16)),-0.0667637834023482 (0.218510330142974) ((24)),-0.00385395291330064 (0.0343050805017144) ((92)),0.0338527849613305 (0.477226790034861) ((36)),0.147380683086025 (0.214387658624238) ((27))
Antibiotics*Anticoagulant,-0.399183560659318 (0.0915010893753982) ((0)),0.0170739972180326 (0.0697272023122394) ((40)),0.0419110354452826 (0.0776217200954648) ((62)),0.0497716061586759 (0.0818392736816479) ((52)),0.0623587076203831 (0.0969401983235827) ((27))
